"filename", "language", "JavaScript", "JSON", "Dart", "YAML", "Gradle", "Java Properties", "CMake", "C++", "XML", "Java", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"/Users/riyashah/Documents/flutter apps/EventQuest/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 7, 17
"/Users/riyashah/Documents/flutter apps/EventQuest/analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/build.gradle", "Gradle", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 68
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/main/java/io/flutter/app/FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 9, 4, 26
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/Users/riyashah/Documents/flutter apps/EventQuest/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/Users/riyashah/Documents/flutter apps/EventQuest/android/build.gradle", "Gradle", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/riyashah/Documents/flutter apps/EventQuest/android/gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/riyashah/Documents/flutter apps/EventQuest/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/riyashah/Documents/flutter apps/EventQuest/android/settings.gradle", "Gradle", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/riyashah/Documents/flutter apps/EventQuest/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/constants/error_handling.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/constants/global_variable.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/main.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/models/announcement.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/models/event.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 73
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/models/registration.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/models/task.dart", "Dart", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/models/user.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 41
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/provider/user_provider.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/router.dart", "Dart", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 102
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screen_items/custom_navigation_botttom_bar.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 68
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screen_items/faculty_custom_navigation_bottom_bar.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 74
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screen_items/highlights.dart", "Dart", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 132
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/constants/utils.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/announcement_screens/add_announcement_screen.dart", "Dart", 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 187
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/announcement_screens/edit_announcement_screen.dart", "Dart", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 247
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/announcement_screens/faculty_announcement_screen.dart", "Dart", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 10, 270
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/event_screens/add_event_screen.dart", "Dart", 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 317
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/event_screens/edit_event_screen.dart", "Dart", 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24, 407
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/event_screens/faculty_event_screen.dart", "Dart", 0, 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 315
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/event_screens/faculty_registration_details_screen.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/faculty_home_screen.dart", "Dart", 0, 0, 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 390
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/task_screens/faculty_add_task_screen.dart", "Dart", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 116
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/task_screens/faculty_edit_task_screen.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 170
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/task_screens/faculty_task_detail_screen.dart", "Dart", 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 322
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/faculty_screens/task_screens/faculty_task_screen.dart", "Dart", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 162
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/login_screen.dart", "Dart", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 249
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/announcement_screens/announcement_detail_screen.dart", "Dart", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 181
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/announcement_screens/announcement_screen.dart", "Dart", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 11, 218
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/event_screens/event_detail_screen.dart", "Dart", 0, 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 271
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/event_screens/event_screen.dart", "Dart", 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 279
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/guideline_screen.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/home_screen.dart", "Dart", 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 16, 390
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/registration_screens/registration_screen.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/task_screens/task_detail_screen.dart", "Dart", 0, 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 424
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/screens/student_screens/task_screens/task_screen.dart", "Dart", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 15, 275
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/announcement_services.dart", "Dart", 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 193
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/event_services.dart", "Dart", 0, 0, 248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 280
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/task_services.dart", "Dart", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 29, 300
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/services/user_services.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/themes.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/widgets/top_bar.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/riyashah/Documents/flutter apps/EventQuest/lib/widgets/user_info.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 68
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/riyashah/Documents/flutter apps/EventQuest/linux/my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 4, 15
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/riyashah/Documents/flutter apps/EventQuest/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/riyashah/Documents/flutter apps/EventQuest/pubspec.yaml", "YAML", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 13, 110
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/announcement.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/event.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/task.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/models/user.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/package-lock.json", "JSON", 0, 1306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1307
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/announcement.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/event.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 95
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/task.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 138
"/Users/riyashah/Documents/flutter apps/EventQuest/servers/routes/user.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 57
"/Users/riyashah/Documents/flutter apps/EventQuest/test/widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/riyashah/Documents/flutter apps/EventQuest/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"/Users/riyashah/Documents/flutter apps/EventQuest/web/manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 5, 15
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/riyashah/Documents/flutter apps/EventQuest/windows/runner/win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 449, 1573, 6235, 43, 94, 8, 38, 538, 463, 13, 13, 54, 38, 523, 811, 10893